Card,ID,Display Name,Quandrant,Species,x0,x10,x30,x130,Notes,x
-1291634974,5.84444E+11,Regen: NE - AT,NE,AT,,,7,,,
-1291634974,2.62851E+11,Regen: NW - AT,NW,AT,,,9,,,
-1291634974,4.78838E+11,Regen: NW - PLI,NW,PLI,,,7,24,,
-1291634974,2.06481E+11,Regen: NW - PLI,NW,PLI,,,8,2,,
-1291634974,9.33599E+11,Regen: SE - PLI,SE,PLI,,,1,16,,
-1291634974,6.67308E+11,Regen: SW - AT,SW,AT,,,8,3,,
-1291634974,6.41804E+11,Regen: SW - PLI,SW,PLI,,,3,5,,
0,-3.17381E+11,Regen:  - ,,,,,,,,
0,-6.62608E+11,Regen:  - ,,,,,,,,
0,1.55564E+11,Regen: NE - ,NE,,,,,,no regen in NE quadrant.,
0,7.06447E+11,Regen: NW - ,NW,,,,,,,
0,7.43678E+11,Regen: SE - ,SE,,,,,,,
0,3.55294E+11,Regen: SW - FDI,SW,FDI,2,2,,,,
3,5.64903E+11,Regen: NE - PLI,NE,PLI,1,4,5,5,,
13,2.24468E+11,Regen: NE - PLI,NE,PLI,,,1,1,,
13,3.45077E+11,Regen: NW - PLI,NW,PLI,,,3,3,,
13,6.17815E+11,Regen: NW - SW,NW,SW,1,,,,,
13,9.27251E+11,Regen: SE - PLI,SE,PLI,,,,1,,
13,9.11441E+11,Regen: SW - ,SW,,,,,,,
13,3.55606E+11,Regen: NE - PLI,NE,PLI,,,,1,,
13,3.8451E+11,Regen: NW - PLI,NW,PLI,,,1,,,
13,3.93761E+11,Regen: SE - PLI,SE,PLI,,1,,1,,
13,2.53594E+11,Regen: SW - PLI,SW,PLI,,2,2,,,
20,5.6239E+11,Regen: NE - PLI,NE,PLI,,7,11,,,
20,1.13724E+11,Regen: NE - SX,NE,SX,,1,,,,
20,9.00776E+11,Regen: NW - PLI,NW,PLI,,5,48,1,,
20,5.03913E+11,Regen: NW - SX,NW,SX,,1,,,,
20,4.11012E+11,Regen: SE - PLI,SE,PLI,,26,88,2,,
20,3.64227E+11,Regen: SE - SX,SE,SX,,,1,,,
20,3.51739E+11,Regen: SW - PLI,SW,PLI,2,17,88,1,,
20,5.25042E+11,Regen: SW - SX,SW,SX,1,3,2,1,,
141,7.18669E+11,Regen: NE - AT,NE,AT,,,1,1,,
141,9.35457E+11,Regen: NE - FDI,NE,FDI,11,13,1,,,
141,9.98523E+11,Regen: NE - PLI,NE,PLI,,,1,,,
141,9.31308E+11,Regen: NW - AT,NW,AT,,,2,,,
141,2.48534E+11,Regen: NW - FDI,NW,FDI,2,8,,,,
141,4.35198E+11,Regen: NW - PLI,NW,PLI,,1,,,,
141,1.57844E+11,Regen: SE - FDI,SE,FDI,2,9,,,,
141,4.96502E+11,Regen: SW - FDI,SW,FDI,,,,,,
158,8.8596E+11,Regen: NE - AT,NE,AT,,,,7,,
158,6.76743E+11,Regen: NE - SW,NE,SW,,10,,2,,
158,5.41491E+11,Regen: NW - AT,NW,AT,,,2,1,,
158,8.54959E+11,Regen: NW - FDI,NW,FDI,,1,1,,,
158,6.137E+11,Regen: NW - SW,NW,SW,2,14,19,1,,
158,7.37197E+11,Regen: SE - AT,SE,AT,,,2,2,,
158,4.68967E+11,Regen: SE - FDI,SE,FDI,2,1,1,1,,
158,7.5597E+11,Regen: SE - SW,SE,SW,12,13,19,4,,
158,3.58211E+11,Regen: SW - AT,SW,AT,,,,1,,
158,3.27096E+11,Regen: SW - FDI,SW,FDI,2,3,,,,
158,4.89357E+11,Regen: SW - SW,SW,SW,3,16,11,1,,
159,7.54643E+11,Regen: NE - FDI,NE,FDI,12,8,,,,
159,6.05342E+11,Regen: NW - FDI,NW,FDI,51,35,4,,,
159,1.83253E+11,Regen: SE - FDI,SE,FDI,16,4,,,,
159,7.75121E+11,Regen: SW - FDI,SW,FDI,22,25,6,,,
161,3.11164E+11,Regen: NE - AT,NE,AT,,,2,,,
161,1.63739E+11,Regen: NW - SX,NW,SX,1,,,,,
161,3.35905E+11,Regen: SE - AT,SE,AT,,,9,2,,
161,4.85962E+11,Regen: SW - AT,SW,AT,,1,4,,,
161,2.8565E+11,Regen: SW - SX,SW,SX,,,,1,,
162,5.39902E+11,Regen: NE - AT,NE,AT,,,7,2,,
162,8.81469E+11,Regen: NE - PLI,NE,PLI,,,1,,,
162,4.61673E+11,Regen: NW - AT,NW,AT,,,1,3,,
162,7.78999E+11,Regen: NW - FDI,NW,FDI,,1,,,,
162,4.87864E+11,Regen: NW - PLI,NW,PLI,,,1,,,
162,9.27723E+11,Regen: SE - AT,SE,AT,,,80,3,,
162,8.81232E+11,Regen: SE - PLI,SE,PLI,1,,1,1,,
162,4.21071E+11,Regen: SE - SX,SE,SX,,1,,,,
162,1.30338E+11,Regen: SW - AT,SW,AT,,,17,3,,
162,3.9363E+11,Regen: SW - PLI,SW,PLI,,,1,,,
163,5.25935E+11,Regen: NE - PLI,NE,PLI,,1,,,,
163,8.42314E+11,Regen: NW - ,NW,,,,,,,
163,2.17917E+11,Regen: SE - ,SE,,0,0,0,0,,
163,9.57158E+11,Regen: SW - AT,SW,AT,,1,1,,,
165,5.18398E+11,Regen: NE - PLI,NE,PLI,6,22,9,1,,
165,6.66887E+11,Regen: NW - PLI,NW,PLI,10,14,,,,
165,1.13582E+11,Regen: SE - FDI,SE,FDI,1,,,,,
165,1.76867E+11,Regen: SE - PLI,SE,PLI,18,27,3,,,
165,8.24773E+11,Regen: SW - PLI,SW,PLI,9,12,2,2,,
193,-5.19872E+11,Regen:  - ,,,,,,,,
193,7.70793E+11,Regen: NE - PLI,NE,PLI,,1,5,,,
193,2.47953E+11,Regen: NW - PLI,NW,PLI,,,5,,,
193,1.47924E+11,Regen: SE - PLI,SE,PLI,,,1,,,
193,1.6301E+11,Regen: SW - AT,SW,AT,,,1,,,
193,7.35333E+11,Regen: SW - PLI,SW,PLI,,,9,,,
194,9.60239E+11,Regen: NE - AT,NE,AT,,2,20,1,,
194,1.93603E+11,Regen: NE - FDI,NE,FDI,1,,,,,
194,1.00433E+11,Regen: NW - AT,NW,AT,1,23,,7,,
194,5.30601E+11,Regen: SE - AT,SE,AT,,4,26,5,,
194,1.98267E+11,Regen: SE - PLI,SE,PLI,,,1,,,
194,8.0638E+11,Regen: SW - AT,SW,AT,,4,34,6,,
194,3.68298E+11,Regen: SW - PLI,SW,PLI,,,1,1,,
197,8.72951E+11,Regen: NE - PLI,NE,PLI,0,12,15,,,
197,4.13712E+11,Regen: NW - PLI,NW,PLI,20,24,10,,,
197,6.59864E+11,Regen: SE - PLI,SE,PLI,1,14,21,,,
197,9.72061E+11,Regen: SW - PLI,SW,PLI,2,12,19,,,
227,5.01373E+11,Regen: NE - PLI,NE,PLI,30,46,,,,
227,7.54015E+11,Regen: NW - PLI,NW,PLI,25,23,1,,,
227,7.62966E+11,Regen: SE - PLI,SE,PLI,17,47,1,,,
227,3.80079E+11,Regen: SW - AT,SW,AT,2,20,9,,,
227,4.82362E+11,Regen: SW - PLI,SW,PLI,19,156,121,,,
229,1.30179E+11,Regen: NE - AT,NE,AT,,,14,6,,
229,1.34071E+11,Regen: NE - PLI,NE,PLI,,2,,,,
229,6.15275E+11,Regen: NE - SW,NE,SW,3,3,1,,,
229,3.27411E+11,Regen: NW - AT,NW,AT,3,4,8,10,,
229,4.00828E+11,Regen: NW - PLI,NW,PLI,,1,,,,
229,3.57841E+11,Regen: NW - SW,NW,SW,6,,1,,,
229,7.01739E+11,Regen: SE - AT,SE,AT,,5,11,3,,
229,9.63953E+11,Regen: SE - PLI,SE,PLI,1,1,1,,,
229,8.17174E+11,Regen: SE - SW,SE,SW,6,1,1,,,
229,5.95451E+11,Regen: SW - AT,SW,AT,6,7,14,12,,
229,5.61978E+11,Regen: SW - PLI,SW,PLI,,3,,,,
229,1.77703E+11,Regen: SW - SW,SW,SW,6,,1,,,
231,1.21741E+11,Regen: NE - AT,NE,AT,,,13,,,
231,5.61653E+11,Regen: NE - PLI,NE,PLI,,3,,,,
231,4.73236E+11,Regen: NW - AT,NW,AT,,,2,1,,
231,4.91537E+11,Regen: NW - PLI,NW,PLI,,1,,,,
231,7.62648E+11,Regen: SE - AT,SE,AT,,2,3,,,
231,1.49244E+11,Regen: SE - PLI,SE,PLI,,1,,,,
231,2.2355E+11,Regen: SW - AT,SW,AT,,,1,,,
232,9.12381E+11,Regen: NE - FDI,NE,FDI,1,4,,,,
232,3.16119E+11,Regen: NE - PLI,NE,PLI,,,1,,,
232,6.34842E+11,Regen: NW - FDI,NW,FDI,1,7,,,,
232,7.72002E+11,Regen: NW - PLI,NW,PLI,,,6,,,
232,9.56915E+11,Regen: SE - FDI,SE,FDI,,4,,,,
232,5.20597E+11,Regen: SE - PLI,SE,PLI,,1,2,,,
232,5.49143E+11,Regen: SW - AT,SW,AT,,,2,,,
232,7.08043E+11,Regen: SW - FDI,SW,FDI,,5,,,,
232,2.22346E+11,Regen: SW - PLI,SW,PLI,,,1,1,,
234,7.41043E+11,Regen: NE - ,NE,,,,,,,
234,3.62008E+11,Regen: NW - AT,NW,AT,,,3,,,
234,8.43665E+11,Regen: SE - ,SE,,,,,,,
234,4.42559E+11,Regen: SW - PLI,SW,PLI,,,1,,,
235,2.08407E+11,Regen: NE - AT,NE,AT,1,1,,,,
235,9.4493E+11,Regen: NW - AT,NW,AT,,,3,6,,
235,4.63286E+11,Regen: NW - FDI,NW,FDI,,1,,,,
235,4.06243E+11,Regen: SE - AT,SE,AT,,,3,4,,
235,2.69821E+11,Regen: SW - AT,SW,AT,,2,5,3,,
270,6.6435E+11,Regen: NE - PLI,NE,PLI,,1,,,,
270,5.21012E+11,Regen: NW - PLI,NW,PLI,,,,1,,
270,2.69179E+11,Regen: SE - ,SE,,,,,,No Trees,
270,7.02452E+11,Regen: SW - ,SW,,,,,,No Trees,
276,6.48302E+11,Regen: NE - FDI,NE,FDI,2,7,,,,
276,5.88381E+11,Regen: NE - PLI,NE,PLI,,,2,,,
276,7.76589E+11,Regen: NW - FDI,NW,FDI,3,,,,,
276,8.73128E+11,Regen: NW - PLI,NW,PLI,,,1,,,
276,3.02256E+11,Regen: SE - FDI,SE,FDI,16,5,,,,
276,1.04216E+11,Regen: SE - PLI,SE,PLI,,5,2,,,
276,9.12861E+11,Regen: SW - FDI,SW,FDI,15,7,,,,
276,9.4948E+11,Regen: SW - PLI,SW,PLI,,7,1,,,
279,4.82416E+11,Regen: NE - ,NE,,,,,,,
279,8.41747E+11,Regen: NW - AT,NW,AT,,,3,,,
279,2.50848E+11,Regen: SE - ,SE,,,,,,,
279,5.25271E+11,Regen: SW - ,SW,,,,,,,
281,7.19441E+11,Regen: NE - AT,NE,AT,,,2,2,,
281,1.94965E+11,Regen: NE - PLI,NE,PLI,,2,,,,
281,2.32907E+11,Regen: NW - AT,NW,AT,,,1,2,,
281,4.12545E+11,Regen: NW - PLI,NW,PLI,,1,2,,,
281,4.04201E+11,Regen: SE - AT,SE,AT,,,,2,,
281,6.82097E+11,Regen: SW - AT,SW,AT,,,,3,,
281,1.01336E+11,Regen: SW - PLI,SW,PLI,,,1,,,
282,5.62272E+11,Regen: NE - AT,NE,AT,,,37,5,,
282,8.11596E+11,Regen: NE - PLI,NE,PLI,,,1,,,
282,6.26632E+11,Regen: NW - AT,NW,AT,,,28,7,,
282,2.07322E+11,Regen: NW - PLI,NW,PLI,,1,,,,
282,6.20721E+11,Regen: SE - AT,SE,AT,1,12,36,2,,
282,4.3446E+11,Regen: SW - AT,SW,AT,,17,1,,,
284,1.93974E+11,Regen: NE - FDI,NE,FDI,,,,1,,
284,4.15891E+11,Regen: NW - FDI,NW,FDI,2,,,,,
284,6.55853E+11,Regen: NW - PLI,NW,PLI,,5,2,,,
284,8.93592E+11,Regen: SE - ,SE,,,,,,,
284,3.56457E+11,Regen: SW - PLI,SW,PLI,,,1,,,
315,4.83234E+11,Regen: NE - AT,NE,AT,,,3,,,
315,4.61044E+11,Regen: NE - PLI,NE,PLI,1,3,2,,,
315,7.31865E+11,Regen: NW - PLI,NW,PLI,,5,5,,,
315,8.06037E+11,Regen: SE - PLI,SE,PLI,,,2,,,
315,6.01644E+11,Regen: SW - AT,SW,AT,,,1,,,
315,1.02819E+11,Regen: SW - PLI,SW,PLI,1,,2,,,
318,7.03753E+11,Regen: NE - ,NE,,,,,,,
319,9.65691E+11,Regen: NE - AT,NE,AT,,,7,,,
319,1.93432E+11,Regen: NW - AT,NW,AT,,,14,,,
319,2.27582E+11,Regen: NW - PLI,NW,PLI,,1,,,,
319,2.12746E+11,Regen: SE - AT,SE,AT,,,8,3,,
319,2.18897E+11,Regen: SW - AT,SW,AT,,,9,,,
319,7.36906E+11,Regen: SW - PLI,SW,PLI,,1,,,,
320,6.09265E+11,Regen: NE - FDI,NE,FDI,,1,,,,
320,5.72275E+11,Regen: NE - PLI,NE,PLI,,2,14,,,
320,8.55564E+11,Regen: NW - FDI,NW,FDI,2,1,,,,
320,5.16377E+11,Regen: NW - PLI,NW,PLI,,,14,,,
320,7.63075E+11,Regen: SE - FDI,SE,FDI,2,3,,,,
320,1.15113E+11,Regen: SE - PLI,SE,PLI,,1,8,,,
320,7.60085E+11,Regen: SW - PLI,SW,PLI,,,14,,,
324,1.86399E+11,Regen: NE - PLI,NE,PLI,,,1,1,,
324,1.93186E+11,Regen: NW - PLI,NW,PLI,2,2,4,,,
324,2.09953E+11,Regen: SE - PLI,SE,PLI,,2,2,,,
324,7.95834E+11,Regen: SW - PLI,SW,PLI,,1,,,,
327,8.29431E+11,Regen: NE - PLI,NE,PLI,4,,,1,,
327,4.34103E+11,Regen: NW - FDI,NW,FDI,,,,,,
327,5.18508E+11,Regen: SE - FDI,SE,FDI,,2,2,,,
327,1.71633E+11,Regen: SW - FDI,SW,FDI,1,,,1,,
329,-4.35461E+11,Regen:  - ,,,,,,,,
330,7.69682E+11,Regen: NE - ,NE,,,,,,,
330,6.68646E+11,Regen: NW - AT,NW,AT,,,3,,,
330,1.0019E+11,Regen: NW - FDI,NW,FDI,3,,,,,
330,3.05615E+11,Regen: NW - PLI,NW,PLI,1,,,,,
330,7.79677E+11,Regen: SE - ,SE,,,,,,,
330,6.41191E+11,Regen: SW - PLI,SW,PLI,,,,,,
331,1.46437E+11,Regen: NE - FDI,NE,FDI,7,20,6,,,
331,4.11555E+11,Regen: NW - FDI,NW,FDI,,7,,,,
331,8.16309E+11,Regen: SE - FDI,SE,FDI,6,6,,,,
331,2.71789E+11,Regen: SW - AT,SW,AT,,,,1,,
331,3.9736E+11,Regen: SW - FDI,SW,FDI,,1,,,,
358,-8.77153E+11,Regen:  - ,,,,,,,,
360,9.72953E+11,Regen: NE - AT,NE,AT,,,30,3,,
360,7.19465E+11,Regen: NW - AT,NW,AT,,,35,7,,
360,8.78963E+11,Regen: NW - PLI,NW,PLI,1,,,,,
360,2.70167E+11,Regen: SE - AT,SE,AT,,,30,16,,
360,9.71617E+11,Regen: SE - PLI,SE,PLI,2,1,,,,
360,4.37024E+11,Regen: SE - SX,SE,SX,1,,,,,
360,2.42959E+11,Regen: SW - AT,SW,AT,,,16,8,,
360,5.45222E+11,Regen: SW - FDI,SW,FDI,1,,,,,
360,4.28085E+11,Regen: SW - SX,SW,SX,3,,,,,
361,-6.46148E+11,Regen:  - ,,,,,,,,
366,4.97084E+11,Regen: NE - FDI,NE,FDI,3,1,,,,
366,9.95951E+11,Regen: NE - PLI,NE,PLI,4,3,,,,
366,3.97442E+11,Regen: NW - PLI,NW,PLI,2,,,,,
366,2.52494E+11,Regen: SE - FDI,SE,FDI,,3,,,,
366,3.95263E+11,Regen: SE - PLI,SE,PLI,,,5,,,
366,2.50645E+11,Regen: SW - FDI,SW,FDI,2,,,,,
366,3.15629E+11,Regen: SW - PLI,SW,PLI,,6,0,,,
367,6.1038E+11,Regen: NE - ,NE,,,,,,,
367,2.6492E+11,Regen: NW - ,NW,,,,,,,
367,9.0218E+11,Regen: SE - AT,SE,AT,,,6,,,
367,2.23087E+11,Regen: SW - AT,SW,AT,,,4,2,,
369,5.92168E+11,Regen: NE - ,NE,,,,,,,
369,8.718E+11,Regen: NW - ,NW,,,,,,,
369,3.66295E+11,Regen: SE - ,SE,,,,,,,
369,2.77509E+11,Regen: SW - ,SW,,,,,,,
370,6.46548E+11,Regen: NE - FDI,NE,FDI,11,12,,,,
370,9.09903E+11,Regen: NW - FDI,NW,FDI,18,2,,,,
370,2.26315E+11,Regen: SE - FDI,SE,FDI,10,2,13,10,,
370,5.30759E+11,Regen: SW - ,SW,,,,,,no trees,
371,8.8817E+11,Regen: NE - FDI,NE,FDI,11,72,1,,,
371,6.02959E+11,Regen: NW - FDI,NW,FDI,4,47,,,,
371,7.8952E+11,Regen: NW - PLI,NW,PLI,,1,1,,,
371,6.76202E+11,Regen: SE - FDI,SE,FDI,109,45,,,,
371,3.2327E+11,Regen: SE - PLI,SE,PLI,,6,1,,,
371,8.38699E+11,Regen: SW - FDI,SW,FDI,59,22,1,,,
371,6.5357E+11,Regen: SW - PLI,SW,PLI,4,1,,,,
375,3.58741E+11,Regen: NE - FDI,NE,FDI,17,10,1,,,
375,1.28406E+11,Regen: NW - FDI,NW,FDI,94,41,,,,
375,9.21902E+11,Regen: SE - FDI,SE,FDI,1,,,,,
375,2.0225E+11,Regen: SW - FDI,SW,FDI,11,,,,,
407,6.84704E+11,Regen: NE - PLI,NE,PLI,2,1,3,1,Age 10,
407,2.29221E+11,Regen: NW - PLI,NW,PLI,0,1,0,0,Age 15,
407,4.83396E+11,Regen: SE - PLI,SE,PLI,1,0,2,1,Age 17,
407,9.94995E+11,Regen: SW - PLI,SW,PLI,0,0,1,2,Age 11,
408,4.03538E+11,Regen: NE - PLI,NE,PLI,3,13,2,0,,
408,4.73576E+11,Regen: NW - PLI,NW,PLI,8,17,7,0,,
408,1.48842E+11,Regen: SE - PLI,SE,PLI,5,15,3,0,,
408,3.62511E+11,Regen: SW - PLI,SW,PLI,5,15,3,0,,
413,6.28574E+11,Regen: NE - ,NE,,,,,,,
413,5.70175E+11,Regen: NW - ,NW,,,,,,,
413,1.16097E+11,Regen: SE - ,SE,,,,,,,
413,3.68779E+11,Regen: SW - ,SW,,,,,,,
417,1.1725E+11,Regen: NE - ,NE,,,,,,,
417,2.84989E+11,Regen: NW - PLI,NW,PLI,,,2,,,
417,9.239E+11,Regen: SE - FDI,SE,FDI,1,,,,,
417,7.74511E+11,Regen: SE - PLI,SE,PLI,,1,2,,,
417,7.82559E+11,Regen: SW - PLI,SW,PLI,,,1,,,
419,5.18971E+11,Regen: NE - FDI,NE,FDI,,1,,,,
419,2.49685E+11,Regen: NW - FDI,NW,FDI,,1,,,,
419,5.86584E+11,Regen: SE - FDI,SE,FDI,,1,,,,
419,2.65908E+11,Regen: SW - FDI,SW,FDI,1,3,,,,
420,1.63917E+11,Regen: NE - PLI,NE,PLI,6,21,4,,,
420,1.45652E+11,Regen: NE - SX,NE,SX,,,1,,,
420,6.81475E+11,Regen: NW - PLI,NW,PLI,8,31,1,,,
420,2.9918E+11,Regen: SE - PLI,SE,PLI,,12,5,,,
420,4.28485E+11,Regen: SW - PLI,SW,PLI,8,12,12,,,
421,8.52774E+11,Regen: NE - PLI,NE,PLI,,6,10,,,
421,6.75478E+11,Regen: NW - PLI,NW,PLI,1,2,6,,,
421,4.6718E+11,Regen: SE - FDI,SE,FDI,,3,,,,
421,4.01357E+11,Regen: SE - PLI,SE,PLI,,6,8,,,
421,6.47199E+11,Regen: SW - PLI,SW,PLI,1,3,8,,,
423,9.81568E+11,Regen: NE - AT,NE,AT,,,3,,,
423,2.04684E+11,Regen: NE - FDI,NE,FDI,2,14,4,,,
423,5.29073E+11,Regen: NW - FDI,NW,FDI,1,25,6,,,
423,5.51203E+11,Regen: SE - AT,SE,AT,,,2,,,
423,1.9176E+11,Regen: SE - FDI,SE,FDI,,29,4,,,
423,3.39951E+11,Regen: SW - AT,SW,AT,,,5,,,
423,1.48798E+11,Regen: SW - FDI,SW,FDI,,12,1,,,
424,6.41976E+11,Regen: NE - AT,NE,AT,,,,7,,
424,6.68923E+11,Regen: NW - AT,NW,AT,,,,5,,
424,6.82801E+11,Regen: SE - AT,SE,AT,,,,5,,
424,1.75111E+11,Regen: SW - AT,SW,AT,,,,6,,
425,8.04758E+11,Regen: NE - ,NE,,,,,,no trees,
425,1.59961E+11,Regen: NW - ,NW,,,,,,no trees,
425,1.74434E+11,Regen: SE - ,SE,,,,,,no trees,
425,2.3959E+11,Regen: SW - ,SW,,,,,,no trees,
454,5.1284E+11,Regen: NE - FDI,NE,FDI,5,0,1,0,,
454,7.63622E+11,Regen: NE - PLI,NE,PLI,1,3,1,25,Age 13,
454,9.6504E+11,Regen: NW - FDI,NW,FDI,1,0,0,0,,
454,7.01187E+11,Regen: NW - PLI,NW,PLI,1,3,28,9,Age 8,
454,2.86225E+11,Regen: SE - FDI,SE,FDI,4,0,0,0,,
454,8.05727E+11,Regen: SE - PLI,SE,PLI,1,5,44,19,Age 10,
454,1.70413E+11,Regen: SW - FDI,SW,FDI,1,0,0,0,,
454,3.63174E+11,Regen: SW - PLI,SW,PLI,0,2,12,9,Age 9,
456,6.63234E+11,Regen: NE - ,NE,,,,,,No regeneration,
456,5.34405E+11,Regen: NW - ,NW,,,,,,No regeneration,
456,6.58532E+11,Regen: SE - ,SE,,,,,,No regeneration,
456,4.58283E+11,Regen: SW - PLI,SW,PLI,0,0,2,4,,
460,1.22269E+11,Regen: NE - AT,NE,AT,,,,1,,
460,9.14634E+11,Regen: NE - FDI,NE,FDI,,2,,,,
460,6.87873E+11,Regen: NW - FDI,NW,FDI,,6,1,,,
460,7.9313E+11,Regen: NW - PLI,NW,PLI,,,1,,,
460,3.91702E+11,Regen: SE - FDI,SE,FDI,,3,,,,
460,9.10205E+11,Regen: SW - FDI,SW,FDI,,8,,,,
464,1.63779E+11,Regen: NE - ,NE,,,,,,,
464,1.28204E+11,Regen: NW - FDI,NW,FDI,1,,,,,
464,7.67112E+11,Regen: SE - FDI,SE,FDI,1,,,,,
464,5.55831E+11,Regen: SE - PLI,SE,PLI,,,2,,,
464,2.87814E+11,Regen: SW - FDI,SW,FDI,,1,,,,
466,3.49255E+11,Regen: NE - FDI,NE,FDI,,2,,,,
466,5.94536E+11,Regen: NE - PLI,NE,PLI,,3,3,,,
